vehicles_N,vehicles_S,vehicles_E,vehicles_W,ped_N,ped_S,ped_E,ped_W,emg_N,emg_S,emg_E,emg_W,green_N,green_S,green_E,green_W
398,233,218,319,1,1,0,0,3,1,2,3,714.9,419.90000000000003,390.40000000000003,571.2
22,207,356,25,1,2,0,0,3,2,3,2,38.1,373.6,637.8000000000001,43.0
383,237,248,42,2,1,3,2,2,0,1,0,690.4,428.1,449.90000000000003,78.60000000000001
252,376,291,60,0,0,0,1,2,0,1,1,451.6,676.8000000000001,522.8000000000001,108.5
110,321,17,188,3,2,0,2,3,0,0,3,199.5,580.8000000000001,30.6,338.40000000000003
391,347,154,211,0,1,3,0,0,0,0,1,703.8000000000001,626.1,281.7,378.8
352,65,211,43,0,3,3,1,0,0,1,2,633.6,121.5,383.3,76.9
359,179,304,375,1,1,0,2,0,1,0,1,647.7,322.7,547.2,677.0
272,225,328,275,1,1,3,3,3,1,2,2,488.1,405.5,592.9,497.5
329,275,234,140,3,2,0,2,0,1,3,0,596.7,497.0,418.2,255.0
208,48,33,24,1,0,2,0,3,2,3,2,372.90000000000003,84.4,59.4,41.2
234,165,58,390,1,2,0,1,1,0,0,0,421.7,300.0,104.4,703.5
140,39,229,42,0,3,2,3,2,0,0,0,250.0,74.7,415.2,80.10000000000001
20,209,63,292,2,3,1,0,1,2,2,1,38.0,378.7,112.9,524.6
369,16,39,356,0,3,3,2,0,3,2,0,664.2,30.299999999999997,72.7,643.8000000000001
243,362,366,29,3,1,0,3,0,3,3,0,441.90000000000003,650.1,655.8000000000001,56.7
63,268,343,7,2,3,3,3,0,1,1,1,116.4,485.90000000000003,620.9,16.1
270,241,149,3,0,2,2,3,2,0,2,2,484.0,436.8,269.2,7.9
388,384,241,55,0,1,3,1,2,1,3,0,696.4,691.7,435.3,100.5
327,344,34,13,0,1,3,3,2,1,3,2,586.6,619.7,62.7,25.900000000000002
23,327,244,397,1,0,3,1,3,0,1,3,39.9,588.6,442.7,713.1
82,313,201,21,1,1,1,0,3,2,1,3,146.1,562.9,362.3,34.800000000000004
84,254,257,233,2,0,3,3,2,2,2,3,152.20000000000002,455.2,465.1,420.90000000000003
20,62,341,22,2,1,0,2,0,3,1,1,39.0,110.10000000000001,612.8000000000001,41.6
363,268,331,277,0,3,0,3,2,3,2,1,651.4,483.90000000000003,593.8000000000001,502.1
57,37,60,381,0,2,3,3,2,1,2,0,100.60000000000001,68.60000000000001,110.5,690.3000000000001
238,206,366,208,3,2,3,1,2,3,0,2,430.90000000000003,370.8,663.3000000000001,373.90000000000003
54,237,379,7,3,1,1,1,0,1,1,0,101.7,427.1,682.7,14.1
47,68,371,211,1,0,3,3,3,2,3,0,83.10000000000001,120.4,669.3000000000001,384.3
303,5,272,70,3,3,1,2,2,2,0,3,547.9,11.5,491.1,126.0
33,227,37,19,0,0,3,3,3,3,0,2,56.4,405.6,71.10000000000001,36.7
267,339,281,311,3,1,1,3,1,3,0,1,484.1,608.7,507.3,563.3000000000001
42,304,62,11,3,0,2,3,2,3,1,0,78.10000000000001,544.2,113.60000000000001,24.3
44,377,307,392,3,3,3,3,2,1,0,3,81.7,682.1,557.1,707.1
388,390,216,50,2,2,1,0,1,3,3,3,700.4,702.0,387.3,87.0
41,241,33,11,2,3,2,1,2,3,0,3,74.8,435.3,62.4,18.3
17,5,21,378,0,2,1,1,3,2,0,2,27.6,10.0,39.300000000000004,679.9
201,33,35,69,1,2,3,3,3,0,2,2,360.3,62.4,65.5,126.69999999999999
329,373,358,382,2,3,1,2,1,3,2,3,594.2,672.9,643.9,687.6
342,305,391,236,1,3,1,2,0,3,0,2,617.1,550.5,705.3000000000001,425.8
234,348,68,295,0,0,3,3,2,0,2,1,419.2,626.4,124.9,534.5
103,168,11,378,0,3,2,0,2,1,3,3,183.4,305.90000000000003,19.8,677.4
349,278,26,323,1,0,0,1,2,1,1,1,627.7,499.40000000000003,45.800000000000004,581.9
56,202,205,362,0,2,0,1,0,3,2,2,100.8,363.6,367.0,651.1
351,215,267,240,0,0,3,2,2,0,3,3,629.8000000000001,387.0,482.1,432.0
294,11,298,352,3,3,3,3,2,2,3,2,531.7,22.3,537.9,636.1
360,0,307,395,2,3,2,0,1,3,3,2,650.0,0.0,552.6,709.0
319,50,259,333,3,0,0,1,3,0,0,0,575.7,90.0,466.2,600.9
47,154,223,205,3,1,3,0,1,3,0,1,88.10000000000001,275.7,405.90000000000003,368.0
29,10,66,268,2,1,0,3,3,2,1,0,52.2,17.5,117.8,486.90000000000003
37,69,29,277,3,2,3,0,0,3,1,0,71.10000000000001,124.2,55.7,498.6
1,274,314,1,0,2,3,0,1,2,2,0,0.8,494.2,567.7,1.8
51,252,284,58,2,0,2,1,0,2,2,2,94.8,451.6,512.2,103.9
25,3,367,13,0,3,1,0,2,0,0,3,43.0,9.9,662.1,20.400000000000002
264,374,269,329,1,1,3,2,1,1,1,0,475.7,673.7,487.7,595.2
288,18,38,231,3,0,1,3,0,0,3,2,522.9,32.4,66.9,418.3
289,370,315,327,2,3,2,0,1,2,2,0,522.2,668.5,568.0,588.6
239,304,124,230,0,3,1,1,1,0,0,0,429.2,551.7,224.70000000000002,415.5
321,364,144,280,3,0,2,3,0,1,1,1,582.3000000000001,654.2,261.2,507.5
153,356,340,360,2,2,0,1,2,0,1,2,276.40000000000003,643.8000000000001,611.0,647.5
266,38,219,43,2,0,2,0,3,1,3,3,478.8,67.4,394.2,74.4
45,222,38,60,2,3,3,2,0,2,0,1,84.0,402.1,72.9,110.0
25,23,315,243,3,2,2,3,1,2,1,2,48.5,42.4,569.0,439.90000000000003
37,363,27,15,2,2,0,0,0,3,3,0,69.60000000000001,653.4,45.6,27.0
280,313,32,202,2,0,3,0,0,0,0,0,507.0,563.4,62.1,363.6
365,313,335,8,3,0,0,2,0,3,3,1,661.5,560.4,600.0,16.4
26,232,318,31,2,3,0,0,2,2,0,3,47.800000000000004,420.1,572.4,52.800000000000004
297,355,19,52,2,3,3,0,1,1,1,1,536.6,642.5,37.7,92.60000000000001
320,46,220,69,1,0,0,1,1,1,3,3,576.5,81.8,393.0,122.7
92,6,23,241,2,2,1,0,2,0,0,0,166.6,13.8,42.9,433.8
206,43,254,379,2,0,3,3,3,0,0,0,370.8,77.4,461.7,686.7
186,117,346,1,3,2,3,3,2,2,2,2,337.3,211.6,625.3000000000001,4.3
293,213,324,350,2,2,3,2,2,0,3,2,528.4,386.40000000000003,584.7,631.0
318,210,0,22,3,0,3,3,1,0,3,1,575.9,378.0,0.0,43.1
50,8,390,15,3,1,2,3,0,1,3,1,94.5,14.9,702.0,30.5
327,287,351,397,1,2,1,0,0,3,0,3,590.1,516.6,633.3000000000001,711.6
23,60,236,44,1,1,0,1,0,2,0,3,42.9,107.5,424.8,77.7
4,240,51,187,1,0,0,1,3,0,3,2,5.699999999999999,432.0,88.8,336.1
55,371,225,1,0,0,2,3,0,1,2,2,99.0,666.8000000000001,406.0,4.3
280,396,251,10,3,0,0,1,3,3,1,1,505.5,709.8000000000001,450.8,18.5
20,310,336,37,1,2,2,0,0,3,1,3,37.5,558.0,606.8000000000001,63.60000000000001
8,14,64,202,1,0,3,3,1,1,0,2,14.9,24.2,119.7,366.1
22,252,241,383,2,3,2,1,1,2,2,1,41.6,456.1,434.8,689.9
50,368,40,37,2,0,2,0,3,1,2,3,90.0,661.4,73.0,63.60000000000001
65,245,26,26,3,1,2,3,0,0,2,3,121.5,442.5,47.800000000000004,48.300000000000004
295,208,393,222,3,1,1,3,0,1,3,0,535.5,374.90000000000003,705.9,404.1
209,367,317,354,0,2,0,0,2,0,2,2,374.2,663.6,568.6,635.2
61,266,304,330,2,2,1,2,3,0,0,0,109.8,481.8,548.7,597.0
215,376,291,371,1,3,1,0,3,2,2,0,385.5,679.3000000000001,523.3000000000001,667.8000000000001
261,289,277,238,1,2,1,1,1,3,3,3,470.3,520.2,497.1,426.90000000000003
370,66,11,353,2,2,3,0,2,1,3,2,667.0,120.8,21.3,633.4
357,34,304,370,3,1,3,0,1,3,0,2,646.1,59.7,551.7,664.0
60,48,252,95,3,0,0,3,2,0,0,3,110.5,86.4,453.6,172.5
290,250,287,387,2,1,2,2,0,3,1,0,525.0,448.5,518.6,699.6
386,379,244,291,2,1,0,2,1,1,0,2,696.8000000000001,682.7,439.2,524.8000000000001
251,28,372,282,1,1,0,2,3,2,0,0,450.3,49.9,669.6,510.6
400,291,289,316,3,3,1,1,3,0,0,1,721.5,528.3000000000001,521.7,569.3000000000001
171,189,317,194,3,0,2,3,2,1,0,0,310.3,339.2,573.6,353.7
261,201,367,254,1,0,3,1,1,0,3,1,470.3,361.8,662.1,457.7
332,327,360,66,1,0,2,2,2,0,3,0,597.1,588.6,648.0,121.8
38,14,291,69,0,2,0,3,0,1,3,0,68.4,27.2,520.8000000000001,128.7
57,291,307,241,2,3,2,2,2,0,0,0,103.60000000000001,528.3000000000001,555.6,436.8
58,314,6,60,2,3,3,1,0,0,1,0,107.4,569.7,14.3,109.5
367,10,59,362,0,3,3,1,2,1,2,3,658.6,21.5,108.7,650.1
1,383,237,39,1,0,1,2,0,0,1,0,3.3,689.4,427.1,73.2
298,38,69,319,2,0,0,0,0,2,3,2,539.4,66.4,121.2,572.2
219,246,18,326,3,3,0,3,3,1,0,0,395.7,446.3,32.4,591.3000000000001
209,18,122,340,0,3,0,2,2,0,1,2,374.2,36.9,218.6,613.0
297,29,61,6,1,3,2,2,0,3,2,2,536.1,53.7,110.8,11.8
233,102,352,250,0,1,3,2,3,1,3,0,416.40000000000003,184.1,635.1,453.0
214,319,360,375,3,3,2,3,0,1,0,1,389.7,577.7,651.0,678.5
342,229,52,45,1,2,1,3,3,3,1,1,614.1,412.2,94.10000000000001,84.5
23,3,392,327,2,0,1,1,1,0,3,2,43.4,5.4,704.1,588.1
54,19,43,373,2,0,1,0,3,3,0,3,97.2,31.200000000000003,78.9,668.4
339,263,377,203,2,3,0,1,2,3,0,0,611.2,474.90000000000003,678.6,366.90000000000003
10,36,51,366,0,3,1,1,1,0,1,0,17.0,69.3,92.3,660.3000000000001
300,351,231,67,2,2,2,3,2,2,0,0,541.0,632.8000000000001,418.8,125.10000000000001
357,206,56,251,3,2,1,3,3,1,3,2,644.1,372.8,99.3,454.3
38,37,380,16,3,2,3,0,1,2,2,0,71.9,67.60000000000001,686.5,28.8
1,229,244,400,2,1,3,2,2,2,2,3,2.8,411.7,441.7,720.0
249,328,286,52,2,2,3,0,3,2,3,1,448.2,591.4,516.3000000000001,92.60000000000001
373,262,275,66,1,3,0,2,1,2,2,1,671.9,474.1,493.0,120.8
206,18,195,267,1,2,2,2,2,1,0,0,370.3,34.4,354.0,483.6
21,15,314,36,1,3,3,2,0,3,2,2,39.300000000000004,28.5,567.7,65.8
336,229,317,235,1,3,1,1,0,2,2,3,606.3000000000001,414.7,570.1,421.5
51,51,52,290,0,0,0,3,1,3,0,0,90.8,88.8,93.60000000000001,526.5
376,367,365,74,2,3,1,2,1,1,2,1,678.8000000000001,664.1,656.5,135.20000000000002
222,187,336,52,2,2,1,3,1,3,1,1,401.6,336.6,605.3000000000001,97.10000000000001
228,246,312,224,2,3,3,0,2,1,0,0,411.40000000000003,446.3,566.1,403.2
223,242,235,239,3,3,0,3,0,3,3,0,405.90000000000003,437.1,420.0,434.7
162,376,352,37,0,3,2,1,2,1,1,1,289.6,680.3000000000001,635.6,67.10000000000001
399,10,275,387,0,0,0,2,1,2,3,2,717.2,16.0,492.0,697.6
33,225,335,378,3,3,3,2,1,1,2,1,62.9,408.5,605.5,682.4
332,21,312,3,2,1,0,0,0,1,0,2,600.6,38.300000000000004,561.6,3.4000000000000004
318,390,303,202,1,2,2,2,2,3,3,0,571.9,702.0,545.4,366.6
301,216,13,344,1,0,0,2,3,0,0,3,540.3000000000001,388.8,23.400000000000002,619.2
1,229,195,32,3,2,1,2,0,2,3,2,6.3,413.2,349.5,58.6
103,20,26,352,1,0,1,0,1,0,2,2,185.9,36.0,46.300000000000004,631.6
47,316,292,232,1,0,3,3,3,1,0,1,83.10000000000001,567.8000000000001,530.1,421.1
372,88,131,32,1,3,2,2,1,1,1,2,670.1,161.9,237.8,58.6
339,240,264,357,0,2,2,1,1,2,1,3,609.2,433.0,477.2,641.1
43,323,253,366,1,1,0,3,0,3,2,3,78.9,579.9,453.40000000000003,660.3000000000001
271,284,216,374,0,1,0,1,0,2,3,1,487.8,510.70000000000005,385.8,673.7
5,239,279,212,3,3,1,2,2,3,0,2,11.5,431.7,503.7,382.6
222,267,67,353,3,2,1,3,1,1,0,1,403.1,482.6,122.10000000000001,638.9
68,385,382,349,3,3,2,3,2,2,0,0,124.9,695.5,690.6,632.7
231,355,165,98,1,3,3,0,2,1,3,2,415.3,642.5,298.5,174.4
264,376,340,0,1,1,2,3,2,1,3,1,474.7,677.3000000000001,612.0,0.0
49,197,359,51,3,3,0,1,2,3,2,1,90.7,356.1,644.2,92.3
106,32,34,215,1,3,0,2,3,0,2,1,189.3,62.1,59.2,389.0
387,117,52,334,2,3,1,2,1,2,2,3,698.6,213.1,93.10000000000001,601.2
11,238,383,296,1,3,1,2,2,3,0,2,19.3,429.90000000000003,690.9,533.8000000000001
363,355,315,289,3,2,3,1,3,2,2,1,654.9,640.0,569.5,520.7
322,314,381,120,3,0,3,1,3,1,0,3,581.1,564.2,690.3000000000001,214.5
349,256,282,382,3,2,1,0,2,3,3,3,630.7,460.8,506.1,684.6
105,205,37,255,1,3,0,1,0,1,1,2,190.5,372.5,65.60000000000001,458.5
396,395,359,289,0,2,3,3,3,2,2,0,709.8000000000001,712.0,648.7,524.7
381,289,65,265,1,3,0,0,3,3,1,1,684.3000000000001,521.7,116.0,476.0
352,204,47,11,0,3,2,1,1,3,1,0,632.6,368.7,86.60000000000001,21.3
6,302,243,289,0,0,3,2,2,0,2,0,8.8,543.6,439.90000000000003,523.2
262,382,215,344,1,3,2,1,3,1,3,3,470.1,691.1,387.0,617.7
240,61,376,247,1,3,0,3,3,0,0,3,430.5,114.3,676.8000000000001,446.1
245,246,273,232,0,3,2,1,1,2,1,1,440.0,445.3,493.40000000000003,418.1
208,242,362,298,0,2,1,3,2,3,1,2,372.40000000000003,435.6,652.1,538.9
249,70,65,203,2,1,1,3,0,3,1,3,451.2,124.5,117.5,366.90000000000003
279,16,48,64,0,2,2,3,3,3,0,1,499.2,28.8,89.4,118.7
126,34,243,292,0,3,1,3,0,1,1,0,226.8,64.7,437.90000000000003,530.1
321,286,153,62,0,3,1,3,0,0,2,3,577.8000000000001,519.3000000000001,274.90000000000003,113.10000000000001
326,327,287,229,1,3,3,0,2,0,0,0,586.3000000000001,593.1,521.1,412.2
28,61,346,233,1,0,1,3,3,0,0,2,48.9,109.8,624.3000000000001,421.90000000000003
301,66,305,69,0,1,3,3,1,2,3,2,540.8000000000001,118.3,550.5,126.69999999999999
6,303,42,19,1,3,2,3,0,2,2,0,12.3,547.9,76.60000000000001,38.7
35,41,365,41,0,2,1,1,1,0,3,3,62.0,76.8,655.5,72.3
183,234,258,33,2,0,2,3,1,1,3,1,331.40000000000003,420.2,464.40000000000003,62.9
13,24,28,304,0,3,1,2,2,2,0,3,21.400000000000002,45.7,51.9,547.2
69,40,201,50,2,0,3,1,1,3,2,2,126.2,69.0,364.3,89.5
118,78,20,332,1,0,0,1,2,0,1,3,211.9,140.4,35.0,596.1
389,333,308,293,1,0,0,1,1,1,0,3,700.7,598.4,554.4,525.9
55,228,366,347,1,2,2,3,1,2,0,1,99.5,411.40000000000003,661.8000000000001,628.1
129,327,305,327,2,2,2,2,1,2,3,1,234.20000000000002,589.6,549.0,590.6
54,228,301,371,3,2,1,1,1,2,1,2,100.7,411.40000000000003,542.3000000000001,667.3000000000001
398,277,270,219,0,1,0,1,1,3,2,0,715.4,497.1,484.0,395.7
8,398,4,42,1,2,1,1,0,0,2,1,15.9,719.4,6.699999999999999,76.10000000000001
41,213,68,325,0,3,3,0,3,0,0,0,70.8,387.90000000000003,126.9,585.0
253,303,41,29,2,0,0,3,1,1,1,1,457.40000000000003,544.4,72.8,55.7
388,283,348,221,2,1,1,1,1,3,1,0,700.4,507.90000000000003,626.9,399.3
332,291,359,234,3,1,2,1,3,0,3,0,599.1,525.3000000000001,646.2,422.7
53,351,66,61,1,0,1,2,1,0,1,0,95.9,631.8000000000001,119.3,112.8
117,321,389,149,0,0,1,3,1,2,0,3,209.6,575.8000000000001,701.7,269.7
348,315,216,331,0,3,1,1,0,3,1,3,626.4,568.5,389.3,594.3000000000001
131,250,276,44,2,1,1,3,3,1,0,2,235.8,450.5,498.3,81.7
294,275,298,285,1,0,3,3,3,3,3,2,527.7,492.0,537.9,515.5
389,207,60,275,1,0,0,2,2,3,1,0,699.7,369.6,107.0,498.0
7,51,267,218,1,3,0,2,3,3,2,1,11.1,93.3,478.6,394.40000000000003
257,57,123,64,1,0,0,1,2,2,1,2,462.1,100.60000000000001,220.4,114.7
276,36,390,56,2,2,3,2,1,1,3,2,498.8,66.8,703.5,101.8
48,53,0,272,3,3,1,0,1,2,1,0,89.9,97.9,0.0,489.6
45,302,258,399,1,2,0,1,1,3,1,0,81.5,543.6,463.40000000000003,719.7
220,1,48,237,2,2,2,0,3,0,1,1,396.0,4.8,88.4,425.6
310,345,337,396,0,1,1,3,0,1,3,0,558.0,621.5,605.1,717.3000000000001
47,49,217,88,2,0,0,0,2,2,0,1,85.60000000000001,86.2,390.6,157.4
2,213,65,20,3,2,3,2,0,1,1,0,8.1,385.40000000000003,120.5,39.0
350,218,209,350,3,1,0,1,2,1,0,0,632.5,392.90000000000003,376.2,631.5
14,36,356,269,1,3,1,2,2,1,3,0,24.7,68.3,639.3000000000001,487.2
36,58,54,332,0,1,0,1,2,1,2,0,62.8,104.9,95.2,599.1
232,51,291,392,3,1,3,0,2,3,1,1,420.1,90.3,527.3000000000001,704.6
240,66,328,333,1,3,3,1,3,0,0,3,430.5,123.3,594.9,597.9
211,219,39,40,3,3,0,0,0,0,1,1,384.3,398.7,69.2,71.0
62,351,364,279,0,1,2,0,2,3,3,2,109.60000000000001,630.3000000000001,655.2,500.2
234,339,274,278,0,2,2,1,2,1,1,0,419.2,612.2,495.2,501.90000000000003
284,23,70,8,3,1,3,2,0,3,3,2,515.7,39.9,127.5,15.399999999999999
56,323,257,355,1,3,1,2,3,1,3,1,99.3,584.9,461.1,641.0
283,233,230,205,1,2,2,2,3,2,1,2,507.90000000000003,420.40000000000003,416.0,370.0
396,355,41,64,2,1,2,1,2,2,1,0,713.8000000000001,638.5,75.8,116.7
315,222,231,64,0,0,0,2,3,1,1,2,564.0,398.6,414.8,116.2
218,397,350,221,2,3,1,1,1,2,0,1,394.40000000000003,717.1,631.5,398.3
325,343,4,311,1,3,3,2,3,2,1,2,583.5,619.9,10.7,560.8000000000001
381,384,33,278,1,1,2,1,2,2,1,1,685.3000000000001,690.7,61.4,500.90000000000003
5,328,248,234,0,0,2,0,1,0,1,2,8.0,590.4,448.40000000000003,419.2
300,34,384,122,0,1,0,2,0,1,1,0,540.0,61.7,690.2,222.6
56,335,29,161,3,3,2,0,1,3,2,2,104.3,604.5,53.2,287.8
354,269,40,63,0,1,1,2,0,2,1,0,637.2,483.7,72.5,116.4
312,151,19,19,2,2,2,0,3,2,0,2,561.6,272.8,37.2,32.2
304,21,269,349,1,3,1,0,1,2,2,2,547.7,40.300000000000004,483.7,626.2
194,362,14,54,3,1,2,2,0,1,1,1,353.7,652.1,27.2,99.2
379,291,286,209,3,3,2,0,2,3,2,2,684.7,525.3000000000001,515.8000000000001,374.2
237,354,57,51,3,1,2,3,0,3,3,2,431.1,635.7,102.60000000000001,94.3
271,324,305,25,0,1,1,2,3,2,1,0,484.8,582.7,549.5,48.0
291,239,54,302,0,2,2,2,2,1,2,1,521.8000000000001,432.2,98.2,545.6
237,143,46,26,3,2,2,2,2,3,3,1,429.1,257.40000000000003,82.8,48.800000000000004
204,15,21,307,0,3,1,0,3,0,0,2,364.2,31.5,39.300000000000004,550.6
367,272,362,351,2,1,0,0,0,1,3,3,663.6,490.1,648.6,628.8000000000001
128,55,302,41,1,0,1,2,0,3,2,3,231.9,96.0,543.1,73.8
312,250,223,217,1,0,2,1,2,1,1,3,561.1,449.0,403.40000000000003,389.1
375,220,347,397,1,3,0,3,0,1,1,3,676.5,399.5,623.6,716.1
26,64,323,205,2,2,1,0,3,0,0,2,46.800000000000004,118.2,582.9,367.0
384,393,331,292,1,0,1,0,0,3,3,1,692.7,704.4,594.3000000000001,524.6
215,273,264,6,2,1,2,3,0,0,1,3,390.0,492.90000000000003,477.2,12.3
2,333,317,320,2,2,2,2,3,1,2,2,3.5999999999999996,601.4,571.6,577.0
373,220,208,13,3,2,2,2,0,0,0,3,675.9,399.0,377.40000000000003,23.400000000000002
285,91,68,45,1,1,2,0,2,1,0,0,512.5,164.3,125.4,81.0
212,69,210,337,1,2,1,2,3,3,1,0,380.1,124.2,378.5,609.6
287,266,257,212,2,0,2,0,0,1,2,2,519.6,477.8,463.6,379.6
394,231,11,224,2,1,3,0,1,0,1,0,711.2,417.3,23.3,403.2
30,34,314,292,0,1,2,2,2,2,1,0,52.0,60.7,567.2,528.6
286,50,294,234,1,3,1,3,0,0,2,3,516.3000000000001,94.5,528.7,422.7
41,302,336,389,0,0,3,3,3,1,1,3,70.8,542.6,608.3000000000001,701.7
396,295,373,245,0,2,3,2,2,3,2,0,710.8000000000001,531.0,673.9,444.0
209,327,205,242,0,3,3,3,0,3,1,2,376.2,590.1,372.5,438.1
242,51,374,56,0,3,3,3,3,1,1,1,432.6,95.3,676.7,104.3
393,257,9,36,3,3,3,0,1,1,0,1,710.9,466.1,20.7,63.8
387,158,20,256,1,0,3,2,2,1,1,1,696.1,283.40000000000003,39.5,462.8
22,5,202,378,0,3,2,0,3,0,0,2,36.6,13.5,366.6,678.4
387,16,52,38,1,2,0,2,2,0,1,1,696.1,31.8,92.60000000000001,70.4
319,328,296,129,3,1,1,2,2,0,2,0,576.7,591.9,532.3000000000001,235.20000000000002
346,359,354,277,3,1,3,1,1,3,2,3,626.3000000000001,644.7,639.7,497.1
259,49,53,311,2,3,0,0,3,2,2,3,466.2,90.7,93.4,556.8000000000001
338,207,10,221,2,1,2,2,1,2,0,2,610.4,372.1,21.0,398.8
203,352,310,222,2,1,0,1,3,0,1,0,365.40000000000003,635.1,557.0,401.1
203,376,390,295,0,3,1,0,1,3,2,1,364.40000000000003,678.3000000000001,701.5,530.0
295,394,271,259,1,1,0,1,2,1,0,3,530.5,709.7,487.8,464.7
205,245,219,370,1,0,0,3,0,1,3,0,370.5,440.0,391.2,670.5
337,37,269,261,1,2,0,0,3,1,1,3,605.1,68.60000000000001,483.2,466.8
301,361,65,62,3,3,1,1,3,2,1,0,543.3000000000001,652.3000000000001,117.5,113.10000000000001
365,9,63,9,2,2,1,0,3,2,1,2,657.0,17.2,113.9,14.2
262,304,349,362,2,3,3,2,0,2,1,1,474.6,549.7,631.7,653.6
285,52,61,342,2,1,2,2,3,2,1,2,513.0,93.10000000000001,111.8,616.6
210,342,141,239,0,1,1,3,3,0,1,2,375.0,617.1,254.3,432.7
387,228,399,398,3,2,1,0,1,0,3,0,700.1,413.40000000000003,716.7,716.4
293,391,268,315,3,0,2,3,2,0,1,0,529.9,703.8000000000001,484.40000000000003,571.5
11,204,96,392,0,3,1,1,1,2,3,1,18.8,369.7,171.3,706.1
242,252,19,393,3,2,0,3,3,3,1,0,437.1,453.6,33.2,711.9
398,297,210,338,2,3,2,0,3,0,1,1,716.4,539.1,380.0,607.4
272,367,223,7,2,3,3,2,2,3,2,3,490.6,662.1,403.90000000000003,12.6
295,385,17,33,0,0,2,1,3,0,0,2,528.0,693.0,33.6,58.9
277,279,297,343,1,3,2,2,1,2,2,0,499.1,504.7,535.6,620.4
296,308,365,192,3,2,3,3,3,1,3,0,534.3000000000001,556.4,658.5,350.1
27,16,375,62,1,3,2,0,0,1,1,3,50.1,32.3,677.0,108.60000000000001
312,384,226,49,2,0,2,1,1,1,1,1,563.6,690.2,408.8,88.7
389,13,64,196,0,2,2,3,3,2,3,2,697.2,24.400000000000002,115.2,355.3
68,14,217,22,2,1,3,3,0,2,2,2,125.4,24.7,393.1,42.1
61,220,201,310,0,0,1,1,3,0,0,1,106.8,396.0,363.3,558.5
395,54,283,309,3,1,3,2,2,0,1,1,713.5,98.7,512.9000000000001,558.2
9,17,278,35,2,2,1,2,0,3,2,3,19.2,30.6,499.90000000000003,63.0
221,256,53,352,1,2,2,3,2,2,0,3,397.3,461.8,98.4,635.1
13,241,315,133,1,2,2,2,2,0,2,3,22.900000000000002,436.8,568.0,239.4
266,301,206,318,1,2,2,0,3,0,3,1,477.3,544.8000000000001,370.8,571.4
49,356,53,58,0,1,2,1,1,1,2,3,87.2,641.3000000000001,96.4,102.9
68,51,41,242,3,1,2,2,0,2,2,0,126.9,91.3,74.8,438.6
68,318,290,94,1,2,0,3,1,3,1,1,122.9,572.4,521.0,172.70000000000002
