vehicles_N,vehicles_S,vehicles_E,vehicles_W,ped_N,ped_S,ped_E,ped_W,emg_N,emg_S,emg_E,emg_W,time_of_day,green_N,green_S,green_E,green_W,priority_order
11.0,46.0,41.0,46.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,14.142857142857144,69.42857142857142,65.57142857142857,75.85714285714286,WSEN
25.0,31.0,49.0,44.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,40.41916167664671,52.54491017964072,72.75449101796407,59.28143712574851,EWSN
6.0,18.0,39.0,12.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,29.166666666666668,68.75000000000001,91.66666666666664,35.416666666666664,ESWN
3.0,6.0,50.0,22.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,31.11702127659576,14.361702127659573,126.86170212765958,52.659574468085104,EWNS
40.0,28.0,30.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,73.29545454545453,69.88636363636364,59.65909090909091,22.15909090909091,NSEW
3.0,4.0,29.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,43.90243902439024,38.41463414634146,101.52439024390246,41.15853658536585,ENWS
6.0,21.0,48.0,42.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.065573770491802,47.950819672131146,88.5245901639344,77.45901639344262,EWSN
15.0,22.0,4.0,22.0,1.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,75.0,56.81818181818182,43.18181818181818,49.99999999999999,NSWE
5.0,30.0,41.0,9.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,2.0,0.0,9.453781512605044,90.7563025210084,83.19327731092437,41.596638655462186,SEWN
13.0,22.0,45.0,24.0,1.0,1.0,1.0,0.0,3.0,1.0,3.0,2.0,0.0,44.14556962025316,42.721518987341774,89.71518987341771,48.41772151898735,EWNS
6.0,28.0,25.0,27.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,3.0,0.0,10.465116279069768,66.27906976744187,69.76744186046513,78.48837209302326,WESN
83.0,90.0,60.0,87.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,56.081081081081074,60.810810810810814,45.94594594594595,62.16216216216217,WSNE
43.0,41.0,30.0,12.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,75.0,76.5625,54.6875,18.75,SNEW
10.0,33.0,30.0,43.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,3.0,0.0,22.20394736842105,48.84868421052632,63.651315789473685,90.29605263157896,WESN
27.0,36.0,39.0,9.0,1.0,0.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,50.80645161290322,74.03225806451613,60.96774193548387,39.193548387096776,SENW
29.0,42.0,43.0,44.0,1.0,1.0,0.0,0.0,3.0,1.0,2.0,2.0,0.0,51.838235294117645,55.147058823529406,58.45588235294118,59.55882352941177,WESN
33.0,38.0,28.0,2.0,0.0,0.0,1.0,1.0,3.0,3.0,1.0,2.0,0.0,71.05263157894737,78.45394736842104,53.28947368421052,22.20394736842105,SNEW
37.0,23.0,25.0,14.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0,0.0,75.53571428571428,57.85714285714285,53.035714285714285,38.57142857142858,NSEW
38.0,37.0,43.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,3.0,2.0,0.0,56.25,68.59756097560975,83.68902439024389,16.46341463414634,ESNW
1.0,20.0,25.0,10.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,11.25,106.875,78.75,28.125,SEWN
16.0,6.0,47.0,29.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,1.0,0.0,33.992805755395686,30.75539568345324,100.35971223021582,59.89208633093525,EWNS
46.0,40.0,29.0,14.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,73.08917197452229,71.656050955414,60.19108280254776,20.063694267515924,NSEW
6.0,25.0,10.0,7.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,52.13414634146341,76.82926829268293,35.670731707317074,60.36585365853659,SWNE
33.0,4.0,45.0,44.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,51.59235668789809,5.7324840764331215,78.82165605095541,88.85350318471338,WENS
5.0,31.0,13.0,9.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,52.27272727272727,111.36363636363636,29.54545454545455,31.818181818181817,SNWE
18.0,13.0,10.0,44.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,47.17741935483871,47.17741935483871,36.29032258064516,94.35483870967742,WNSE
30.0,1.0,7.0,24.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,84.375,2.8125,42.1875,95.625,WNES
29.0,34.0,41.0,31.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,49.2603550295858,45.26627218934911,71.89349112426035,58.57988165680473,EWNS
7.0,24.0,14.0,10.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,3.0,0.0,37.87128712871287,64.6039603960396,60.148514851485146,62.37623762376238,SWEN
6.0,18.0,16.0,46.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,25.81967213114754,66.39344262295081,29.50819672131148,103.27868852459017,WSEN
98.0,73.0,70.0,64.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,71.26099706744868,51.46627565982405,54.76539589442816,47.50733137829913,NESW
28.0,2.0,25.0,1.0,0.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,0.0,84.1304347826087,29.347826086956523,84.1304347826087,27.391304347826097,NESW
47.0,11.0,21.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,97.91666666666669,33.333333333333336,70.83333333333333,22.916666666666668,NESW
45.0,35.0,24.0,18.0,1.0,1.0,0.0,1.0,2.0,3.0,3.0,3.0,0.0,70.16129032258065,64.11290322580645,47.17741935483871,43.54838709677419,NSEW
29.0,38.0,8.0,6.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,89.18918918918918,97.2972972972973,16.216216216216218,22.29729729729729,SNWE
29.0,40.0,32.0,11.0,0.0,0.0,0.0,1.0,3.0,1.0,3.0,3.0,0.0,60.0,61.36363636363636,64.0909090909091,39.54545454545455,ESNW
32.0,47.0,38.0,35.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,3.0,0.0,52.875,52.875,59.625,59.625,EWNS
19.0,10.0,35.0,10.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,3.0,0.0,54.375,37.5,80.625,52.5,ENWS
27.0,20.0,16.0,39.0,0.0,0.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,67.5,56.25,38.57142857142858,62.67857142857143,NWSE
36.0,25.0,18.0,15.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,70.19999999999999,45.0,55.79999999999999,53.99999999999999,NEWS
24.0,12.0,12.0,21.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,90.0,32.14285714285714,36.42857142857143,66.42857142857143,NWES
1.0,15.0,41.0,33.0,1.0,1.0,1.0,1.0,3.0,0.0,2.0,1.0,0.0,32.38636363636364,30.68181818181818,92.04545454545452,69.88636363636364,EWNS
20.0,44.0,8.0,5.0,0.0,1.0,0.0,1.0,3.0,2.0,0.0,2.0,0.0,66.73728813559322,108.68644067796608,15.254237288135592,34.32203389830509,SNWE
47.0,2.0,46.0,16.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,100.0,16.666666666666668,81.66666666666667,26.666666666666668,NEWS
22.0,17.0,32.0,26.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,47.66949152542373,61.01694915254237,61.01694915254237,55.29661016949153,SEWN
64.0,75.0,67.0,100.0,1.0,0.0,0.0,0.0,2.0,3.0,3.0,1.0,0.0,48.94067796610169,57.20338983050847,52.11864406779661,66.73728813559322,WSEN
27.0,0.0,44.0,42.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,46.875,7.812500000000001,84.375,85.93749999999999,WENS
25.0,47.0,32.0,19.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,3.0,0.0,45.274390243902445,85.06097560975611,43.90243902439024,50.76219512195122,SWNE
43.0,50.0,24.0,24.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,70.5621301775148,70.5621301775148,45.26627218934911,38.6094674556213,NSEW
2.0,32.0,13.0,14.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,35.90425531914894,100.531914893617,55.0531914893617,33.51063829787234,SENW
12.0,27.0,42.0,11.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,29.867256637168143,53.76106194690266,99.5575221238938,41.8141592920354,ESWN
13.0,12.0,49.0,38.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,2.0,0.0,25.632911392405063,35.60126582278481,91.1392405063291,72.62658227848101,EWSN
17.0,0.0,34.0,24.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,2.0,0.0,47.26890756302521,34.03361344537815,79.41176470588236,64.28571428571428,EWNS
22.0,26.0,23.0,17.0,1.0,1.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,64.74820143884892,71.2230215827338,61.51079136690648,27.517985611510795,SNEW
21.0,25.0,50.0,40.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,41.29746835443038,39.87341772151899,75.47468354430382,68.35443037974684,EWNS
43.0,39.0,46.0,37.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,57.44680851063829,58.64361702127661,58.64361702127661,50.26595744680851,SENW
28.0,37.0,40.0,33.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,1.0,0.0,54.971590909090914,66.47727272727272,51.13636363636364,52.41477272727273,SNWE
12.0,5.0,33.0,15.0,1.0,1.0,1.0,0.0,2.0,3.0,2.0,0.0,0.0,51.60550458715596,47.47706422018349,94.954128440367,30.963302752293583,ENSW
35.0,15.0,35.0,38.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,61.64383561643835,27.739726027397257,77.05479452054793,58.56164383561643,ENWS
2.0,36.0,47.0,40.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,2.7950310559006204,75.46583850931678,83.85093167701862,62.888198757763966,ESWN
33.0,8.0,6.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,116.77215189873418,74.05063291139241,31.329113924050635,2.848101265822784,NSEW
38.0,38.0,41.0,40.0,0.0,0.0,1.0,0.0,2.0,3.0,2.0,3.0,0.0,51.42857142857142,56.785714285714285,57.85714285714285,58.92857142857143,WESN
39.0,11.0,36.0,33.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,3.0,0.0,58.69565217391305,40.52795031055901,54.50310559006211,71.27329192546583,WNES
16.0,14.0,12.0,31.0,1.0,1.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,64.28571428571428,60.50420168067227,41.596638655462186,58.61344537815127,NSWE
48.0,9.0,48.0,37.0,0.0,1.0,0.0,1.0,3.0,2.0,3.0,1.0,0.0,73.44559585492227,25.647668393782386,73.44559585492227,52.461139896373055,NEWS
31.0,11.0,14.0,32.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,75.64655172413794,21.33620689655172,56.25,71.76724137931035,NWES
39.0,41.0,49.0,33.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,3.0,0.0,46.55172413793103,56.52709359605912,68.7192118226601,53.20197044334975,ESWN
3.0,43.0,1.0,33.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,0.0,15.929203539823009,85.61946902654866,21.90265486725664,101.54867256637168,WSEN
49.0,45.0,5.0,12.0,0.0,1.0,0.0,1.0,3.0,3.0,2.0,3.0,0.0,83.72093023255816,82.41279069767442,19.62209302325581,39.24418604651163,NSWE
12.0,38.0,5.0,13.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,61.36363636363636,114.54545454545452,16.363636363636363,32.72727272727273,SNWE
34.0,37.0,12.0,7.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,1.0,0.0,77.09790209790211,86.53846153846153,42.48251748251748,18.88111888111888,SNEW
9.0,45.0,28.0,20.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,15.8203125,93.1640625,75.5859375,40.4296875,SEWN
4.0,49.0,17.0,49.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,12.115384615384617,93.46153846153848,29.423076923076927,90.0,SWEN
38.0,16.0,5.0,35.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,93.29268292682924,43.90243902439024,18.29268292682927,69.51219512195122,NWSE
45.0,38.0,23.0,47.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,66.62011173184358,64.10614525139664,28.910614525139664,65.36312849162012,NWSE
9.0,43.0,25.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,33.51063829787234,102.92553191489364,67.02127659574468,21.54255319148936,SENW
19.0,9.0,35.0,6.0,1.0,0.0,0.0,1.0,3.0,0.0,2.0,2.0,0.0,75.68181818181819,18.40909090909091,92.04545454545452,38.86363636363636,ENWS
34.0,26.0,12.0,23.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,3.0,0.0,81.25,48.43750000000001,31.250000000000004,64.0625,NWSE
42.0,1.0,28.0,13.0,1.0,0.0,1.0,0.0,3.0,3.0,3.0,3.0,0.0,90.0,24.0,69.0,42.00000000000001,NEWS
23.0,41.0,49.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,38.235294117647065,82.35294117647058,86.76470588235294,17.647058823529413,ESNW
14.0,11.0,11.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,73.97260273972601,49.31506849315068,64.72602739726027,36.98630136986301,NESW
4.0,13.0,42.0,35.0,1.0,1.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,35.869565217391305,50.54347826086956,81.52173913043478,57.06521739130436,EWSN
3.0,20.0,32.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,7.758620689655171,77.58620689655173,95.6896551724138,43.96551724137932,ESWN
44.0,21.0,28.0,11.0,1.0,1.0,1.0,0.0,3.0,2.0,0.0,3.0,0.0,91.1764705882353,49.99999999999999,45.588235294117645,38.235294117647065,NSEW
98.0,98.0,65.0,76.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,0.0,63.095238095238095,64.28571428571428,41.66666666666666,55.95238095238095,SNWE
10.0,13.0,26.0,34.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0,0.0,0.0,48.491379310344826,34.91379310344827,75.64655172413794,65.94827586206895,EWNS
6.0,2.0,46.0,16.0,1.0,0.0,1.0,0.0,3.0,3.0,2.0,1.0,0.0,44.628099173553714,31.611570247933884,109.71074380165288,39.04958677685951,ENWS
14.0,20.0,28.0,36.0,0.0,1.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,48.69402985074627,55.41044776119403,55.41044776119403,65.48507462686568,WSEN
31.0,28.0,50.0,27.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,50.9433962264151,50.9433962264151,84.90566037735849,38.20754716981131,ENSW
41.0,9.0,2.0,31.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,108.48214285714286,34.15178571428571,20.089285714285715,62.27678571428572,NWSE
28.0,41.0,24.0,10.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,66.27906976744187,94.18604651162792,41.86046511627907,22.67441860465116,SNEW
50.0,6.0,11.0,28.0,0.0,1.0,0.0,1.0,3.0,2.0,3.0,0.0,0.0,103.72340425531917,30.319148936170212,41.48936170212765,49.46808510638298,NWES
29.0,16.0,43.0,47.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,2.0,0.0,41.12903225806452,37.5,73.79032258064515,72.58064516129032,EWNS
7.0,32.0,21.0,40.0,0.0,1.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,37.786259541984734,60.1145038167939,49.80916030534352,77.29007633587784,WSEN
7.0,19.0,49.0,48.0,0.0,1.0,0.0,1.0,3.0,2.0,0.0,1.0,0.0,31.132075471698112,45.28301886792453,69.33962264150944,79.24528301886792,WESN
40.0,9.0,1.0,24.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,100.44642857142858,44.19642857142857,12.053571428571429,68.30357142857142,NWSE
35.0,46.0,0.0,28.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,0.0,67.95302013422818,77.01342281879197,15.1006711409396,64.93288590604027,SNWE
29.0,29.0,39.0,38.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,47.8448275862069,60.77586206896552,56.896551724137936,59.48275862068966,SWEN
17.0,46.0,29.0,17.0,0.0,1.0,0.0,1.0,3.0,2.0,1.0,2.0,0.0,46.45161290322581,85.64516129032258,49.35483870967742,43.54838709677419,SENW
9.0,29.0,6.0,17.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,2.0,0.0,58.980582524271846,69.90291262135923,30.58252427184466,65.53398058252426,SWNE
43.0,9.0,13.0,17.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,3.0,0.0,80.625,45.0,33.75,65.625,NWSE
18.0,24.0,12.0,37.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,65.3225806451613,52.62096774193548,21.774193548387096,85.28225806451613,WNSE
7.0,32.0,8.0,5.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,1.0,0.0,17.89772727272727,107.38636363636364,66.47727272727272,33.23863636363636,SEWN
13.0,33.0,35.0,40.0,1.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,37.74193548387097,52.25806451612903,65.3225806451613,69.67741935483872,WESN
5.0,8.0,35.0,15.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,14.240506329113924,31.329113924050635,122.46835443037976,56.9620253164557,EWSN
42.0,28.0,15.0,46.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,63.42281879194631,49.83221476510068,22.6510067114094,89.09395973154362,WNSE
45.0,45.0,26.0,49.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,64.28571428571428,60.96059113300492,34.35960591133005,65.39408866995073,WNSE
7.0,37.0,16.0,3.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,2.0,0.0,37.87128712871287,122.52475247524754,35.64356435643564,28.96039603960396,SNEW
16.0,43.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,34.61538461538462,121.15384615384616,36.77884615384615,32.45192307692307,SENW
41.0,35.0,21.0,38.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,0.0,70.98930481283422,51.7379679144385,40.909090909090914,61.36363636363636,NWSE
13.0,33.0,30.0,34.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,2.0,0.0,31.174698795180724,65.06024096385542,65.06024096385542,63.70481927710844,SEWN
20.0,40.0,5.0,32.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,47.53521126760563,79.22535211267605,23.767605633802816,74.47183098591549,SWNE
44.0,46.0,13.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,0.0,0.0,90.5844155844156,78.89610389610391,45.2922077922078,10.227272727272728,NSEW
12.0,20.0,17.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,57.08955223880597,77.23880597014926,90.67164179104478,0.0,ESNW
6.0,14.0,27.0,43.0,0.0,1.0,1.0,1.0,2.0,2.0,3.0,0.0,0.0,26.86567164179105,45.33582089552239,75.55970149253733,77.23880597014926,WESN
44.0,12.0,5.0,26.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,102.96610169491528,22.88135593220339,34.32203389830509,64.83050847457628,NWES
49.0,19.0,38.0,28.0,0.0,1.0,1.0,0.0,3.0,2.0,1.0,3.0,0.0,77.83783783783785,38.91891891891892,55.94594594594595,52.297297297297305,NEWS
24.0,5.0,28.0,17.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,2.0,0.0,75.0,38.46153846153847,53.84615384615385,57.692307692307686,NWES
9.0,18.0,15.0,5.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,3.0,0.0,33.87096774193549,87.09677419354838,55.64516129032258,48.38709677419355,SEWN
1.0,11.0,8.0,9.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,2.0,0.0,17.532467532467532,75.97402597402596,75.97402597402596,55.51948051948052,SEWN
